offset_s,ranks,running_skew,waiting_skew,gen_skew,running_max,waiting_max
0,2,1,0,81.7,1,0
20,4,1,0,10.2,530,0
30,4,0,1,11.1,864,193
40,4,0,1,1.7,864,722
50,4,0,0,0.6,864,1184
60,4,1,1,1.1,863,1183
70,4,1,1,0.7,862,1182
80,4,0,0,0.3,864,1184
90,4,0,0,85.8,864,1184
100,4,0,0,85.6,864,1184
110,4,1,1,4.6,862,1173
120,4,1,1,1.7,862,1181
130,4,0,0,2.0,864,1184
140,4,0,0,1.0,864,1184
150,4,0,0,3.2,864,1184
160,4,12,12,1.1,864,1184
170,4,1,1,1.2,863,1077
180,4,0,0,1.6,864,640
190,4,0,0,1.7,864,640
200,4,0,0,1.3,864,640
210,4,0,0,2.1,864,640
220,4,1,0,2.3,862,299
230,4,1,0,4.7,746,0
240,4,0,0,2.6,640,0
250,4,0,0,5.5,640,0
260,4,1,0,3.0,528,0
270,4,0,0,13.9,0,0
280,4,1,0,55.8,1,0
300,4,0,0,200.9,864,1184
310,4,0,0,1.4,864,1184
320,4,0,0,0.9,864,1184
330,4,0,0,2.1,864,1184
340,4,0,0,2.0,864,1184
350,4,0,0,4.0,864,1184
360,4,0,0,7.1,864,1184
370,4,0,0,2.3,864,1184
380,4,0,0,1.5,864,1184
390,4,0,0,1.5,864,1184
400,4,0,1,737.6,864,1107
410,4,0,0,863.2,864,1184
420,4,0,0,84.5,864,1184
430,4,0,0,86.5,864,1184
440,4,0,0,85.6,864,1184
450,4,0,95,172.1,864,919
460,4,0,0,84.8,864,1184
470,4,0,0,1.8,864,1184
480,4,0,0,1.2,864,1184
490,4,0,0,1.4,864,1184
500,4,0,8,0.8,864,887
510,4,0,0,85.4,864,1184
520,4,0,0,86.4,864,1184
530,4,0,0,6.9,864,1184
540,4,0,0,85.9,864,1184
550,4,0,18,173.1,864,652
560,4,0,0,829.4,864,1184
570,4,0,0,780.3,864,1184
580,4,0,0,84.3,864,1184
590,4,0,0,85.1,864,1184
600,4,0,41,261.0,864,634
610,4,0,0,88.9,864,1184
620,4,0,0,0.8,864,1184
630,4,0,0,83.9,864,1184
640,4,0,0,85.6,864,1184
650,4,0,26,259.6,864,661
660,4,0,0,88.4,864,1184
670,4,0,0,3.6,864,1184
680,4,0,0,88.2,864,1184
690,4,0,0,783.1,864,1184
700,4,0,39,863.6,864,575
710,4,0,0,263.1,864,1184
720,4,0,0,260.7,864,1184
730,4,0,0,87.1,864,1184
740,4,0,0,89.5,864,1184
750,4,16,323,200.8,843,971
760,4,0,0,382.7,864,1184
770,4,0,0,170.4,864,1184
780,4,0,0,90.0,864,1184
790,4,0,0,85.7,864,1184
800,4,21,340,122.3,845,1028
810,4,0,0,1929.8,864,1184
820,4,0,0,1729.8,864,1184
830,4,0,0,84.8,864,1184
840,4,0,0,87.3,864,1184
850,4,21,357,101.4,847,1086
860,4,0,0,292.9,864,1184
870,4,0,0,1753.7,864,1184
880,4,0,0,1643.3,864,1184
890,4,0,0,88.9,864,1184
900,4,29,407,130.0,864,1107
910,4,0,0,472.4,864,1184
920,4,0,0,171.0,864,1184
930,4,0,0,86.9,864,1184
940,4,0,0,85.6,864,1184
950,4,26,161,107.9,864,1184
960,4,0,132,1440.4,864,1184
970,4,0,0,1126.0,864,1184
980,4,0,0,84.9,864,1184
990,4,0,0,87.4,864,1184
1000,4,31,182,191.7,864,1184
1010,4,0,495,1319.9,864,1184
1020,4,0,0,1125.4,864,1184
1030,4,0,0,170.3,864,1184
1040,4,0,0,2.8,864,1184
1050,4,31,156,192.2,864,1184
1060,4,0,0,449.4,864,1184
1070,4,0,0,85.5,864,1184
1080,4,0,0,87.9,864,1184
1090,4,0,0,84.9,864,1184
1100,4,27,177,261.8,864,1184
1110,4,0,518,361.2,864,1131
1120,4,0,0,2.8,864,1184
1130,4,0,0,85.4,864,1184
1140,4,0,0,431.8,864,1184
1150,4,0,0,261.3,864,1184
1160,4,0,3,341.9,864,537
1170,4,0,0,88.7,864,1184
1180,4,0,0,88.7,864,1184
1190,4,0,0,172.6,864,1184
1200,4,0,0,88.1,864,1184
1210,4,0,0,259.2,864,593
1220,4,0,0,1014.9,864,1184
1230,4,0,0,1034.4,864,1184
1240,4,0,0,88.6,864,1184
1250,4,0,0,88.4,864,1184
1260,4,0,21,260.2,864,630
1270,4,0,0,1013.0,864,1184
1280,4,0,0,1121.5,864,1184
1290,4,0,0,172.6,864,1184
1300,4,0,0,88.7,864,1184
1310,4,0,96,346.6,864,630
1320,4,0,0,85.8,864,1184
1330,4,0,0,85.7,864,1184
1340,4,0,0,88.2,864,1184
1350,4,0,0,2.9,864,1184
1360,4,0,64,80.3,864,871
1370,4,0,0,91.6,864,1184
1380,4,0,0,1168.6,864,1184
1390,4,0,0,1209.0,864,1184
1400,4,0,0,88.3,864,1184
1410,4,0,10,252.7,864,608
1420,4,0,0,9.2,864,608
1430,4,0,0,1101.1,864,608
1440,4,0,0,1035.7,864,608
1450,4,0,0,91.3,864,608
1460,4,64,0,223.8,672,0
1470,4,0,0,395.0,608,0
1480,4,0,0,363.1,608,0
1490,4,0,0,123.7,608,0
1500,4,0,0,1884.6,0,0
